city_id,City,Country,Lat,Lng,Max Temp,Min Temp,Humidity,Cloudiness,Wind Speed,Current Description
110,Amityville,US,40.679,-73.4171,33.03,29.14,40,0,8.05,clear sky
111,Andorra La Vella,AD,42.5045,1.4941,39.0,29.03,63,100,2.17,light rain
112,East Patchogue,US,40.767,-72.9962,32.97,29.14,44,20,20.71,few clouds
113,Great Neck,US,40.8007,-73.7285,32.74,28.09,40,0,16.11,clear sky
114,Bay Shore,US,40.7251,-73.2454,32.56,29.53,42,0,20.71,clear sky
115,Newark,US,40.7357,-74.1724,32.2,27.21,42,0,12.66,clear sky
116,Hauppauge,US,40.8256,-73.2026,32.56,28.92,43,20,20.71,few clouds
117,Centereach,US,40.8584,-73.0995,32.67,28.56,44,20,37.0,few clouds
118,Dix Hills,US,40.8048,-73.3362,32.2,28.09,42,0,20.71,clear sky
119,Hicksville,US,40.7684,-73.5251,32.56,28.4,41,0,8.05,clear sky
120,Huntington Station,US,40.8534,-73.4115,32.23,28.13,41,0,8.05,clear sky
121,Westbury,US,40.7557,-73.5876,32.7,28.26,41,0,8.05,clear sky
122,North Babylon,US,40.7165,-73.3218,32.95,29.41,42,0,8.05,clear sky
123,East Meadow,US,40.714,-73.559,32.83,28.9,40,0,8.99,clear sky
124,Pearl River,US,41.059,-74.0218,31.35,26.35,45,1,3.0,clear sky
125,Fulton,US,33.7668,-84.4499,38.08,27.84,50,0,3.44,clear sky
126,Bradford,GB,53.7939,-1.7521,38.79,36.05,97,98,3.11,overcast clouds
127,Mineola,US,40.7493,-73.6407,32.67,28.13,41,0,16.11,clear sky
128,Huntington,US,38.4193,-82.4452,29.32,21.51,65,0,0.0,clear sky
129,Melville,US,40.7934,-73.4151,32.56,28.45,41,0,8.05,clear sky
130,Carteret,US,40.5773,-74.2282,32.25,27.32,44,0,12.66,clear sky
131,Commack,US,40.8429,-73.2929,32.29,28.38,42,0,20.71,clear sky
132,Nesconset,US,40.852,-73.154,32.4,28.49,44,20,37.0,few clouds
133,Middlebury,US,44.0153,-73.1673,24.01,19.67,39,0,13.8,clear sky
134,Bethpage,US,40.7443,-73.4821,32.68,28.53,41,0,8.05,clear sky
135,Glen Cove,US,40.8623,-73.6337,32.81,28.15,43,0,4.0,clear sky
136,Lindenhurst,US,40.6868,-73.3735,32.95,29.41,41,0,8.05,clear sky
137,East Northport,US,40.8768,-73.3246,32.25,28.15,43,0,8.05,clear sky
138,West Hempstead,US,40.7048,-73.6501,32.83,28.29,40,0,16.11,clear sky
139,Scarsdale,US,41.0051,-73.7846,31.96,26.82,47,0,17.27,clear sky
140,Franklin Square,US,40.7073,-73.676,32.86,28.22,40,0,16.11,clear sky
141,Depew,US,42.904,-78.6923,23.74,17.89,62,20,9.22,few clouds
142,Kings Park,US,40.8862,-73.2573,32.2,28.29,43,20,20.71,few clouds
143,West Milford,US,41.1312,-74.3674,29.05,23.72,50,3,11.01,clear sky
144,West Islip,US,40.7062,-73.3062,32.99,29.44,42,0,20.71,clear sky
145,Saint James,BB,13.2167,-59.6167,79.25,79.25,77,14,20.11,few clouds
146,Morrisburg,CA,44.9001,-75.1826,17.69,12.92,85,2,7.85,clear sky
147,Copiague,US,40.6815,-73.3998,32.95,29.41,41,0,8.05,clear sky
148,Clinton,US,42.587,-82.9199,24.82,18.79,69,0,10.36,clear sky
149,Babylon,US,40.6957,-73.3257,32.99,29.44,42,0,8.05,clear sky
150,Selden,US,40.8665,-73.0357,32.72,28.62,44,20,37.0,few clouds
151,Lockport,US,41.5895,-88.0578,32.56,27.18,59,0,21.85,clear sky
152,Valley Stream,US,40.6643,-73.7085,33.03,28.38,39,0,16.11,clear sky
153,Fort Thomas,US,39.0751,-84.4472,28.56,18.95,48,0,4.61,clear sky
154,Smithtown,US,40.8559,-73.2007,32.61,28.98,43,20,37.0,few clouds
155,East Massapequa,US,40.6734,-73.4365,33.03,29.16,40,0,8.05,clear sky
156,Perth Amboy,US,40.5068,-74.2654,32.22,27.14,46,0,13.0,clear sky
157,Danbury,US,41.3948,-73.454,30.65,25.32,50,0,8.05,clear sky
158,Hempstead,US,40.7062,-73.6187,32.83,28.38,41,0,16.11,clear sky
159,Brentwood,US,40.7812,-73.2462,32.56,28.94,42,20,20.71,few clouds
160,Bohemia,US,40.7693,-73.1151,32.58,28.96,43,20,20.71,few clouds
161,Medford,US,42.3265,-122.8756,45.64,36.41,59,0,5.75,clear sky
162,Levittown,US,40.1551,-74.8288,30.76,26.22,45,0,6.91,clear sky
163,Haverstraw,US,41.1976,-73.9646,32.13,26.15,49,0,11.65,clear sky
164,Uniondale,US,40.7004,-73.5929,32.86,28.94,41,0,16.11,clear sky
165,Carbondale,US,37.7273,-89.2168,29.05,26.6,53,0,4.61,clear sky
166,Patchogue,US,40.7657,-73.0151,32.95,29.12,44,20,20.71,few clouds
167,Bennington,US,42.8781,-73.1968,24.62,19.27,78,100,12.03,light snow
168,Lacolle,CA,45.0834,-73.3659,21.45,18.07,59,17,16.13,few clouds
169,Johnson City,US,36.3134,-82.3535,30.88,21.99,64,0,0.0,clear sky
