Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,EV Connector Types
ELEC,New Hyde Park - 2298 Jericho Turnpike,2298 Jericho Turnpike,,New Hyde Park,NY,11040,,866-816-7584,E,,Public,,,,,2,,EV Connect,http://evconnect.com/,GPS,40.740992,-73.662543,11/10/2022,231033,2022-11-10 02:01:33,,,,09/30/2022,CHADEMO J1772COMBO
ELEC,NYSERDA,4 Computer Drive West,,Albany,NY,12205,,888-356-8911,E,,Public,24 hours daily,,,4,,,FLO,https://flo.ca/,GPS,42.719125,-73.809943,11/10/2022,194027,2022-11-10 01:42:34,,,,08/18/2021,J1772
ELEC,White Fences Inn Water Mill - Tesla Destination,371 Montauk Hwy,,Water Mill,NY,11976,,631-500-9013  877-798-3752,E,,Public,24 hours daily; see front desk for access,,,2,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.905728,-72.362692,11/03/2020,115245,2021-03-11 23:22:17,P,,,02/01/2016,J1772 TESLA
ELEC,Poughkeepsie Nissan,1445 Route 9,,Wappingers Falls,NY,12590,,845-297-4314,E,,Public - Call ahead,Dealership business hours,,,1,,,Non-Networked,,200-9,41.587383,-73.908392,06/09/2020,44206,2021-03-11 23:22:17,P,,,11/30/2011,J1772
ELEC,1235 Linden Blvd,1235 Linden Blvd,,Brooklyn,NY,11212,,888-356-8911,E,,Public,24 hours daily,,,4,,,FLO,https://flo.ca/,GPS,40.654381,-73.913436,11/10/2022,195668,2022-11-10 01:42:34,,,,09/08/2021,J1772
ELEC,Village Dodge Inc,819 NY-66,,Hudson,NY,12534,,518-828-1585,E,,Public - Call ahead,24 hours daily,A D Debit M V,,1,,,Non-Networked,,GPS,42.272530,-73.722516,10/11/2022,229076,2022-10-11 18:56:12,P,,,09/17/2022,J1772
ELEC,SAVARINO COMPAN BRL 5,BRL Parking Lot 3rd from Building  1 South St,,Buffalo,NY,14204,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.863697,-78.868096,11/10/2022,164154,2022-11-10 01:03:45,,,,07/11/2020,J1772
ELEC,EXECUTIVE PARK #2,2 Executive Blvd,,Montebello,NY,10901,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.120068,-74.116750,11/10/2022,175753,2022-11-10 01:02:59,,,,01/27/2021,J1772
ELEC,HGI TROY HILTON TROY 1.1,243 Hoosick St,,Troy,NY,12180,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.739590,-73.670850,11/10/2022,154778,2022-11-10 01:02:00,,,,03/27/2020,J1772
ELEC,92746 CHARGEPOINT 1,301 E 66th St,,New York,NY,10065,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.764935,-73.960630,11/10/2022,225676,2022-11-10 01:16:19,,,,08/18/2022,J1772
ELEC,Greymoor Way - Building 2,1201 Greymoor Way,,Baldwinsville,NY,13027,,844-623-1001,E,,Public,24 hours daily,A CREDIT D M V,,4,,,LIVINGSTON,https://www.solution.energy,GPS,43.181940,-76.300020,07/12/2022,223120,2022-07-12 20:31:42,P,,,10/28/2021,J1772
ELEC,RRH CARTER 2FLGW1,1415 Portland Ave,,Rochester,NY,14621,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.191681,-77.588746,11/10/2022,174457,2022-11-10 00:57:10,,,,01/27/2021,J1772
ELEC,"Montauk, NY - Tesla Supercharger",70 South Euclid Avenue,,Montauk,NY,11954,,877-798-3752,E,,Public,24 hours daily; for Tesla use only,,,,8,,Tesla,https://www.tesla.com/supercharger,GPS,41.036062,-71.943509,10/11/2021,170431,2021-11-04 18:37:47,P,,,12/14/2020,TESLA
ELEC,CMH STATION 1,67 Prospect Ave,,Hudson,NY,12534,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.246589,-73.778701,11/10/2022,213092,2022-11-10 01:13:16,,,,03/31/2022,J1772
ELEC,LIVEWIRE DCFAST HOG OUT,2428 Sunrise Hwy,,Bellmore,NY,11710,,888-758-4389,E,,Public,24 hours daily,,,,1,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.665961,-73.536912,11/10/2022,143298,2022-11-10 00:57:28,,,,08/15/2019,J1772COMBO
ELEC,FOODBANK LATHAM PARKING TWO,959 Albany Shaker Rd Regional Food Bank - Lat,,Latham,NY,12110,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.764423,-73.814400,11/10/2022,164452,2022-11-10 01:03:38,,,,07/23/2020,J1772
ELEC,RIVERHEAD RIVER 2 #3,1947 Old Country Road,,Riverhead,NY,11901,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.919684,-72.712499,11/10/2022,180158,2022-11-10 00:44:18,,,,01/27/2021,J1772
ELEC,PEAK POINT APT PEAK POINT EV1,1427 Saratoga Rd,,Ballston Spa,NY,12020,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.978574,-73.861651,11/10/2022,191437,2022-11-10 01:08:58,,,,06/24/2021,J1772
ELEC,Malden Travel Plaza,20 Codys Ct.,,Saugerties,NY,12477,,866-816-7584,E,,Public,,,,,1,,EV Connect,http://evconnect.com/,GPS,42.110949,-73.956487,11/10/2022,167630,2022-11-10 02:01:10,,,,06/24/2020,CHADEMO J1772COMBO
ELEC,Hampton Inn Rome - Tesla Destination,1352 Floyd Ave,,Rome,NY,13441,,315-709-0000  877-798-3752,E,,Public,24 hours daily; for customer use only,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,43.222098,-75.421363,11/03/2020,115229,2021-03-11 23:22:17,P,,,11/01/2018,J1772 TESLA
ELEC,Partridge Hill Apartments,5 Valley View Blvd,,Rensselaer,NY,12144,,844-623-1001,E,,Public,24 hours daily,A CREDIT D M V,,4,,,LIVINGSTON,https://www.solution.energy,GPS,42.661680,-73.694690,07/12/2022,223102,2022-07-12 20:31:42,P,,,10/29/2021,J1772
ELEC,TONAWANDA YPR POOL PLAZA 2,151 Thorncliff Rd,,Buffalo,NY,14223,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.982760,-78.866790,11/10/2022,154518,2022-11-10 01:01:46,,,,03/17/2020,J1772
ELEC,SWL SARANAC 1.3,234 Lake Flower Ave,,Saranac Lake,NY,12983,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,44.322690,-74.123240,11/10/2022,169509,2022-11-10 01:05:32,,,,11/26/2020,J1772
ELEC,La Tourelle Hotel & Spa - Tesla Destination,1150 Danby Rd,,Ithaca,NY,14850,,607-273-2734  877-798-3752,E,,Public - Call ahead,24 hours daily; for customer use only,,,2,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,42.401806,-76.502908,11/03/2020,114957,2021-03-11 23:22:17,P,,,12/15/2016,J1772 TESLA
ELEC,FETZNER STATION 1,2487 Dewey Ave,,Rochester,NY,14616,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.213877,-77.639807,11/10/2022,223410,2022-11-10 01:14:23,,,,07/13/2022,J1772
ELEC,ADAMS STATION 301 ELKIN CT,301 Elkin Ct,,Delmar,NY,12054,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.607437,-73.850940,11/10/2022,165396,2022-11-10 01:03:47,,,,08/22/2020,J1772
ELEC,Inn at Houghton Creek,9722 Genesee St,,Houghton,NY,14744,,877-798-3752,E,,Public - Credit card at all times,24 hours daily,A D Debit M V,,2,,,Tesla Destination,https://www.tesla.com/destination-charging,GPS,42.423527,-78.158041,09/14/2022,226543,2022-09-14 15:49:44,P,,,08/25/2022,TESLA
ELEC,SSCCA SSCC - 01,37 High Rock Ave,,Saratoga Springs,NY,12866,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.084719,-73.782313,11/10/2022,182198,2022-11-10 01:06:59,,,,01/27/2021,J1772
ELEC,NATIONAL GRID HOLIDAY VALLEY,6081 US-219,,Ellicottville,NY,14731,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.261800,-78.663077,11/10/2022,162249,2022-11-10 00:52:57,,,,06/12/2020,J1772
ELEC,NATIONAL GRID EMPIRE STATE,113 West Ave,,Saratoga Springs,NY,12866,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.077743,-73.804522,11/10/2022,162223,2022-11-10 00:53:19,,,,06/12/2020,J1772
ELEC,Central Parking - 109 E 58th Street,109 E 58th Street,,New York,NY,10022,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,1,,,Blink Network,http://www.blinkcharging.com/,GPS,40.762199,-73.969557,10/05/2022,201870,2022-10-05 22:57:04,,,,12/01/2021,J1772
ELEC,FUCCILLOHYUNDAI CPE-250 #2,1910 Alvin Rd,,Grand Island,NY,14072,,888-758-4389,E,,Public,24 hours daily,,,,1,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.011412,-78.968102,11/10/2022,202142,2022-11-10 01:12:38,,,,12/08/2021,CHADEMO J1772COMBO
ELEC,CDPHP,1785 U.S. 9,,Clifton Park,NY,12065,,833-692-6787,E,,Public - Credit card at all times,Contact station for hours of availability.,A ANDROID_PAY APPLE_PAY CREDIT D M,,4,,,AMPUP,https://ampup.io/,200-9,42.879679,-73.772607,10/11/2022,229918,2022-10-11 18:56:12,P,,,09/15/2022,J1772
ELEC,The Wedge,633 Mount Sinai-Coram Rd,,Mt Sinai,NY,11766,,866-816-7584,E,,Public,,,,4,,,EV Connect,http://evconnect.com/,GPS,40.933917,-73.009580,11/10/2022,123126,2022-11-10 02:00:33,,,,04/01/2019,J1772
ELEC,OMG EV CHARGER EVCHARGER3,656 Co Hwy 33,,Cooperstown,NY,13326,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.626144,-74.945076,11/10/2022,203019,2022-11-10 01:13:05,,,,12/24/2021,J1772
ELEC,COMMCTR 59 N PUTT2,59 N Putt Corners Rd,,New Paltz,NY,12561,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.747750,-74.064560,11/10/2022,202953,2022-11-10 01:12:37,,,,12/23/2021,J1772
ELEC,Bayport Fire District,251 Snedecor Ave.,,Bayport,NY,11705,,800-663-5633,E,,Public,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,,4,,,SemaCharge Network,https://semaconnect.com/,GPS,40.745289,-73.052841,11/10/2022,228833,2022-11-10 00:33:34,,,,09/22/2022,J1772
ELEC,AECSOLAR STATION 1 AEC,210 Washington Ave Ext,,Albany,NY,12203,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.703290,-73.856920,11/10/2022,192609,2022-11-10 01:09:48,,,,07/07/2021,J1772
ELEC,Rapidpark 205 W 101st Street - Tesla Destination,205 W 101st Street,,New York,NY,10025,,877-798-3752  877-798-3752,E,,Public,24 hours daily; for customer use only; see front desk for access,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.797676,-73.968479,11/03/2020,169060,2021-03-11 23:22:17,P,,,11/03/2020,J1772 TESLA
ELEC,Kew Garage,8002 Kew Gardens Rd,,Kew Gardens,NY,11415,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,1,,,Blink Network,http://www.blinkcharging.com/,GPS,40.713705,-73.831217,10/05/2022,189547,2022-10-05 22:58:51,,,,05/11/2021,J1772
ELEC,PRIMA LOFTS LL ALB LOFTS 1.5,1373 Broadway,,Menands,NY,12204,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.676170,-73.733420,11/10/2022,175105,2022-11-10 01:01:00,,,,01/27/2021,J1772
ELEC,799 SENECA STATION 4,799 Seneca St,,Buffalo,NY,14210,,888-758-4389,E,,Public,Mon 5:00pm - 10:00pm; Tue 5:00pm - 10:00pm; Wed 5:00pm - 10:00pm; Thu 5:00pm - 10:00pm; Fri 5:00pm - 10:00pm; Sat 8:00am - 10:00pm; Sun 8:00am - 10:00pm,,,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.875091,-78.847557,11/10/2022,191245,2022-11-10 01:09:32,,,,06/19/2021,J1772
ELEC,HAMPTON INN STATION 4,1120 South Ave,,Staten Island,NY,10314,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.612678,-74.178885,11/10/2022,181661,2022-11-10 01:05:18,,,,01/27/2021,J1772
ELEC,Duford Studios,127 E 83rd Street,Located between Park Ave & Lexington Ave. Attendant will assist in charging vehicle.  Parking rates apply. Inquire within,New York,NY,10028,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,1,,,Blink Network,http://www.blinkcharging.com/,GPS,40.778527,-73.957204,10/05/2022,189362,2022-10-05 22:58:32,,,,05/07/2021,J1772
ELEC,WHITE PLAINS WP CT4K-2 SALES,262 E Main St,,Elmsford,NY,10523,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.048088,-73.808500,11/10/2022,199474,2022-11-10 01:09:00,,,,10/30/2021,J1772
ELEC,Parkit 27 N Moore Street - Tesla Destination,27  N Moore St,,New York,NY,10013,,212-929-9404  877-798-3752,E,,Public,24 hours daily; see valet for access,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.720215,-74.007465,11/03/2020,115074,2021-03-11 23:22:17,P,,,01/01/2016,J1772 TESLA
ELEC,SULLIVAN PARK CENTER WAY 1,121 Center Way,,Corning,NY,14830,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.153054,-77.053977,11/10/2022,174028,2022-11-10 00:56:29,,,,01/27/2021,J1772
ELEC,CENTROTHERM CENTRO F1,427 S Pearl St,,Albany,NY,12202,,888-758-4389,E,,Public,24 hours daily,,,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.637853,-73.758948,11/10/2022,158535,2022-11-10 01:03:07,,,,06/05/2020,J1772
ELEC,Luce Ristorante - Tesla Destination,1053 Oyster Bay Rd,,East Norwich,NY,11732,,516-624-8330  877-798-3752,E,,Public,24 hours daily; for customer use only; see front desk for access,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.843546,-73.532489,11/03/2020,114938,2021-03-11 23:22:17,P,,,08/15/2016,J1772 TESLA
ELEC,PICOTTE 11 CORPORATE 2,11 Corporate Woods Blvd,,Albany,NY,12211,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.683434,-73.766780,11/10/2022,180636,2022-11-10 01:03:31,,,,01/27/2021,J1772
ELEC,PVA STATION 3,6 Corporate Dr,,Halfmoon,NY,12065,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.846931,-73.754945,11/10/2022,233118,2022-11-10 01:11:19,,,,10/08/2022,J1772
ELEC,1 WATERLINE STATION#2,10 Riverside Blvd,,New York,NY,10069,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.772952,-73.992622,11/10/2022,207731,2022-11-10 01:13:08,,,,03/08/2022,J1772
ELEC,Maguire Honda of Ithaca,315 Elmira Rd,,Ithaca,NY,14850,,607-273-1926,E,,Public - Credit card at all times,24 hours daily,A D Debit M V,,1,,,Non-Networked,,GPS,42.426395,-76.509167,09/14/2022,226521,2022-09-14 15:49:44,P,,,08/25/2022,J1772
ELEC,STATION 1 @ VIL VICTOR,70 E Main St,,Victor,NY,14564,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.981755,-77.408360,11/10/2022,162320,2022-11-10 00:51:03,,,,06/12/2020,J1772
ELEC,STATION TOR1 CRAWFORD PARK S,122 North Ridge St.,,Rye Brook,NY,10573,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.015297,-73.685720,11/10/2022,146604,2022-11-10 00:58:17,,,,10/04/2019,J1772
ELEC,528 W 162nd Garage-PARK-it - Tesla Destination,528 W 162nd St,,Manhattan,NY,10033,,212-929-9404  877-798-3752,E,,Public,24 hours daily; pay lot; see valet for access,,,4,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.836425,-73.941393,11/03/2020,150533,2021-03-11 23:22:17,P,,,09/30/2019,TESLA
ELEC,Reaves Dental,4301 Middle Settlement Rd,,New Hartford,NY,13413,,888-363-7662,E,,Public - Credit card at all times,24 hours daily,A D Debit M V,,4,,,Non-Networked,,GPS,43.073488,-75.343208,09/14/2022,227084,2022-09-14 15:49:44,P,,,08/26/2022,J1772
ELEC,The Fern Lodge - Tesla Destination,46 Fiddlehead Bay Rd,,Chestertown,NY,12817,,518-494-7238  877-798-3752,E,,Public,24 hours daily; for customer use only,,,2,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,43.625316,-73.850472,11/03/2020,114923,2021-03-11 23:22:17,P,,,11/01/2018,TESLA
ELEC,"Home2 Suites by Hilton Rochester Henrietta, NY - Tesla Destination",999 Jefferson Rd,,Rochester,NY,14623,,585-272-0090  877-798-3752,E,,Public,24 hours daily; for customer use only; see front desk for access,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,43.086754,-77.610599,11/03/2020,115228,2021-03-11 23:22:17,P,,,11/01/2018,J1772 TESLA
ELEC,VIC AND CAMPUS SUGAR SHACK 1.1,8023 NY-30,,Paul Smiths,NY,12970,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,44.448635,-74.258150,11/10/2022,154724,2022-11-10 01:02:14,,,,03/26/2020,J1772
ELEC,Colonie Center - Tesla Supercharger,131 Colonie Center,,Albany,NY,12205,,877-798-3752,E,,Public,24 hours daily; for Tesla use only,,,,6,,Tesla,https://www.tesla.com/supercharger,200-8,42.710356,-73.819109,10/11/2021,102325,2021-11-04 18:37:47,P,,,05/01/2014,TESLA
ELEC,AT LABS ATL STATION 1,22 Corporate Dr,,Clifton Park,NY,12065,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.848114,-73.758400,11/10/2022,213551,2022-11-10 01:12:01,,,,04/07/2022,J1772
ELEC,RTS IRONDEQUOIT #2,Irondequoit Plaza,,Irondequoit,NY,14617,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.209057,-77.601380,11/10/2022,184902,2022-11-10 01:07:22,,,,02/12/2021,J1772
ELEC,NY STATE PARKS JAMES BAIRD,280 Club House Rd,,Pleasant Valley,NY,12569,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.685950,-73.791916,11/10/2022,149880,2022-11-10 00:59:31,,,,12/11/2019,J1772
ELEC,GREECE TOWN HAL GREECE NORTH 1,1 Vince Tofany Blvd,,Rochester,NY,14612,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.258230,-77.699135,11/10/2022,164052,2022-11-10 01:00:41,,,,07/08/2020,J1772
ELEC,PICOTTE 22 CORPORATE 2,22 Corporate Woods Blvd,,Albany,NY,12211,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.681545,-73.768265,11/10/2022,181108,2022-11-10 01:04:34,,,,01/27/2021,J1772
ELEC,W&W Glass,302 Airport Executive Park,,Clarkstown,NY,10954,,844-623-1001,E,,Public - Credit card at all times,24 hours daily,A CREDIT D M V,,4,,,LIVINGSTON,https://www.solution.energy,GPS,41.108480,-74.028910,09/14/2022,225119,2022-09-14 15:49:44,P,,,,J1772
ELEC,STONE MILL STONE MILL,407 Canal Pl,,Little Falls,NY,13365,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.040505,-74.858994,11/10/2022,223045,2022-11-10 01:16:13,,,,07/09/2022,J1772
ELEC,iPark NYU 377 E 33rd Street - Tesla Destination,377 E 33rd St,,New York,NY,10016,,212-532-3721  877-798-3752,E,,Public,24 hours daily; for customer use only; see valet for access,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.743382,-73.974251,11/03/2020,115113,2021-03-11 23:22:17,P,,,09/01/2017,J1772 TESLA
ELEC,LARKIN726RRAMPP LARKIN 3,726 Exchange St,,Buffalo,NY,14210,,888-758-4389,E,,Public,Mon 5:00pm - 10:00pm; Tue 5:00pm - 10:00pm; Wed 5:00pm - 10:00pm; Thu 5:00pm - 10:00pm; Fri 5:00pm - 10:00pm; Sat 8:00am - 10:00pm; Sun 8:00am - 10:00pm,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.874883,-78.849816,11/10/2022,182985,2022-11-10 00:55:30,,,,01/27/2021,J1772
ELEC,110 MAPLE AVE STATION 5,110 Maple Ave,,Rockville Centre,NY,11570,,888-758-4389,E,,Public,24 hours daily,,,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.658423,-73.639833,11/10/2022,217197,2022-11-10 01:14:19,,,,05/08/2022,J1772
ELEC,South Lewis Senior High School,4264 East Rd,,Turin,NY,13473,,844-798-2438,E,,Public - Credit card at all times,24 hours daily,A D Debit M V,,2,,,SWTCH,https://swtchenergy.com/,GPS,43.636693,-75.394039,04/06/2022,211921,2022-04-06 14:08:04,P,,,03/17/2022,J1772
ELEC,South Port Shopping Center - Tesla Supercharger,999 Montauk Hwy,,Shirley,NY,11967,,877-798-3752,E,,Public - Credit card at all times,24 hours daily,A D Debit M V,,,12,,Tesla,https://www.tesla.com/supercharger,GPS,40.804373,-72.860362,05/05/2022,214708,2022-05-05 20:22:04,P,,,04/17/2022,TESLA
ELEC,Potter Park,53 West Church Street,,Fairport,NY,14450,,866-816-7584,E,,Public,,,,2,,,EV Connect,http://evconnect.com/,GPS,43.098049,-77.446537,11/10/2022,152216,2022-11-10 02:00:55,,,,12/27/2019,J1772
ELEC,Mendon Public Library,22 North Main Street,,Honeoye Falls,NY,14472,,855-900-7584,E,,Public,24 hours daily,,,2,,,SHELL_RECHARGE,https://shellrecharge.com/en-us/solutions,GPS,42.953986,-77.591468,11/10/2022,188116,2022-11-10 01:21:31,,,,04/29/2021,J1772
ELEC,Icon Parking 237 West Thames - Tesla Destination,237 W Thames,,New York,NY,10280,,212-786-4796  877-798-3752,E,,Public,24 hours daily; see valet for access,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.708465,-74.016762,11/03/2020,115062,2021-03-11 23:22:17,P,,,11/01/2018,J1772 TESLA
ELEC,Prestige Parking Corp,25 Sutton Place South,,New York,NY,10022,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,1,,,Blink Network,http://www.blinkcharging.com/,GPS,40.756519,-73.961074,10/05/2022,221322,2022-10-05 22:56:02,,,,06/15/2022,J1772
